identifier,itemType,qumlVersion,program,type,objectType,board,status
do_112821973201248256127,UNIT,0.5,CBSC,reference,AssessmentItem,NCERT,"Not started"
do_112812704485539840110,UNIT,0.5,CBSE,reference,AssessmentItem,NCERT,"Not started"
do_112821207385939968169,UNIT,0.5,CBSC,reference,AssessmentItem,NCERT,"Not started"
do_112821908675452928126,UNIT,0.5,CBSC,reference,AssessmentItem,NCERT,"Not started"
do_112821215033073664178,UNIT,0.5,CBSC,reference,AssessmentItem,NCERT,"Not started"
do_112821208018755584171,UNIT,0.5,CBSC,reference,AssessmentItem,NCERT,"Not started"
do_11290616039444480018,UNIT,0.5,CBSE,reference,AssessmentItem,NCERT,"Not started"
do_11290612504596480014,UNIT,0.5,CBSE,reference,AssessmentItem,CBSE,"Not started"
do_11290612440704614413,UNIT,0.5,CBSE,reference,AssessmentItem,CBSE,"Not started"
do_11278286992097280013,UNIT,0.5,CBSE,reference,AssessmentItem,NCERT,"Not started"
do_11290611550184243211,UNIT,0.5,CBSE,reference,AssessmentItem,CBSE,"Not started"
do_11283676907619123211,UNIT,0.5,CBSE,reference,AssessmentItem,NCERT,"Not started"
do_11284906820259020812,UNIT,0.5,CBSE,reference,AssessmentItem,NCERT,"Not started"
do_112776006515752960164,UNIT,0.5,CBSE,reference,AssessmentItem,CBSE,"Not started"
do_11284176538000588811,UNIT,0.5,CBSE,reference,AssessmentItem,NCERT,"Not started"
do_11284176611857203212,UNIT,0.5,CBSE,reference,AssessmentItem,NCERT,"Not started"
do_11284176676968857613,UNIT,0.5,CBSE,reference,AssessmentItem,NCERT,"Not started"
do_112815517596008448179,UNIT,0.5,CBSC,reference,AssessmentItem,NCERT,"Not started"
do_11278864065236992011,UNIT,0.5,CBSC,reference,AssessmentItem,NCERT,"Not started"
do_112790833683243008161,UNIT,0.5,CBSC,reference,AssessmentItem,NCERT,"Not started"
do_11278357144634163218,UNIT,0.5,CBSE,reference,AssessmentItem,NCERT,"Not started"
do_112773729072324608124,UNIT,0.5,CBSC,reference,AssessmentItem,NCERT,"Not started"
do_112768988609912832119,UNIT,0.5,CBSC,reference,AssessmentItem,NCERT,"Not started"
do_112771693770907648170,UNIT,0.5,CBSC,reference,AssessmentItem,NCERT,"Not started"
do_1129421394417582081475,UNIT,0.5,CBSE,reference,AssessmentItem,CBSE,"Not started"
do_1129421334282158081474,UNIT,0.5,CBSE,reference,AssessmentItem,CBSE,"Not started"
do_1129421168366960641473,UNIT,0.5,CBSE,mcq,AssessmentItem,CBSE,"Not started"
do_1129421146441564161472,UNIT,0.5,CBSE,reference,AssessmentItem,"","Not started"
do_112919594069426176110,UNIT,0.5,CBSE,mcq,AssessmentItem,CBSE,"Not started"
do_11291955947680563214,UNIT,0.5,CBSE,reference,AssessmentItem,CBSE,"Not started"
do_11291955631695462413,UNIT,0.5,CBSE,reference,AssessmentItem,CBSE,"Not started"
do_11291955541759590412,UNIT,0.5,CBSE,reference,AssessmentItem,CBSE,"Not started"
do_11291954628029644811,UNIT,0.5,CBSE,reference,AssessmentItem,CBSE,"Not started"
do_1129194924010536961169,UNIT,0.5,CBSE,reference,AssessmentItem,CBSE,"Not started"
