identifier,questions,program,objectType,status,resourceType,node_id,author,name,language,versionKey
do_11292651409217126413,"do_112926532898471936159,do_112926541066952704168","CBSE New",Content,Live,Learn,373804,"Creation, VB","Practice QuestionSet",English,1577961787010
do_11291097218270003215,"do_112906879067152384132,do_1129109718003220481340,do_112906085688156160117",CBSE,Content,Live,Practice,363452,Creation,"Multiple Choice Question - Topic 2",English,1587632764712
do_1129061173359329281280,do_11290611550184243211,CBSE,Content,Live,Practice,353880,Creation,"Long Answer - Topic 2",English,1575453777266
do_1129061170339512321279,do_11290611550184243211,CBSE,Content,Live,Practice,353879,Creation,"Long Answer - Topic 2",English,1575453741179
do_11290603355578368016,do_11283676907619123211,CBSE,Content,Live,Practice,358914,Test,"Long Answer - Topic 4",English,1575443550142
do_11290602012434432013,do_112905967065595904190,CBSE,Content,Live,Practice,358911,Creation,"Very Short Answer - Topic 2",English,1575441911150
do_112885488760750080142,do_112885488222494720139,CBSE,Content,Live,Practice,312785,Creation,"Very Short Answer - Topic 4",English,1572935640626
do_112885474119606272120,do_11284906820259020812,CBSE,Content,Live,Practice,312128,Creation,"Long Answer - Topic 1",English,1572933853568
do_112875702770991104130,"do_11282830196157644817,do_112825504535568384111",CBSE,Content,Live,Practice,314781,Sh,"Very Short Answer - Topic 1",English,1571741062215
do_11284511487685427216,do_11284511428278681615,CBSE,Content,Live,Practice,257310,Creation,"Very Short Answer - Topic 4",English,1568007188511
do_11284511266356428814,do_112776006515752960164,CBSE,Content,Live,Practice,257911,"","Long Answer - Topic 1",English,1568006918713
do_112843011377291264114,do_1127815662670970881177,CBSE,Content,Live,Practice,257772,"","Short Answer - Topic 1",English,1567750413817
do_11284180369415372819,"do_11284179648112230416,do_11284179797096857617",CBSE,Content,Live,Practice,258763,"","Short Answer - Topic 3",English,1579695616592
do_11284177637851136015,"do_11282830196157644817,do_112825504535568384111,do_112777988509196288168,do_11278568162492416014207,do_11282548134394265616,do_112777893753839616130,do_112811913749782528142",CBSE,Content,Live,Practice,258270,Sh,"Very Short Answer - Topic 1",English,1571317051996
do_11284177247005081614,"do_11284176676968857613,do_11284176611857203212,do_11284176538000588811",CBSE,Content,Live,Practice,325845,Creation,"Long Answer - Topic 3",English,1567599179921
do_112841686703693824113,do_112837366349103104113,CBSE,Content,Live,Practice,227018,Creation123,"Very Short Answer - Topic 1",English,1567588710155
do_11284108683917721617,do_112798616147943424175,CBSC,Content,Live,Practice,226209,"","Very Short Answer - Topic 1",English,1567515493044
do_112837456239648768115,"do_1128261837782056961237,do_11282675905060864012,do_112798616147943424175,do_112822514531090432143,do_112820481669939200119,do_112821208837120000172,do_1128261559067852801226",CBSE,Content,Live,Practice,258497,Creation1,"Very Short Answer - Topic 1",English,1571316830814
do_11283183021007667216,"do_11281340744363212816,do_11282548435063603218,do_11281340769348812817,do_11281333301233254416,do_11281332637138124814,do_11281340791848960018",CBSE,Content,Live,Practice,226232,"","Multiple Choice Question - Topic 1",English,1566541824808
do_11283026581177958414,"do_112777988509196288168,do_112777893753839616130,do_112776008691122176165,do_112775880653709312123,do_11278568162492416014207,do_112811901172457472138,do_112811913749782528142",CBSE,Content,Live,Practice,228381,"","Some random name",English,1567058998792
do_11282824293965824013,"do_112820481669939200119,do_1128261837782056961237,do_112822514531090432143,do_1128261559067852801226",CBSE,Content,Live,Practice,227545,"","Very Short Answer - Topic 1",English,1567067378979
